STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,coicop,Classification of individual consumption by purpose (COICOP),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,ES,Spain,2005,,4685,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,ES,Spain,2010,,4437,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,ES,Spain,2015,,4547,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,ES,Spain,2020,,4695,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FI,Finland,2005,,3086,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FI,Finland,2010,,3504,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FI,Finland,2015,,3681,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FI,Finland,2020,,4161,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FR,France,2005,,3733,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FR,France,2010,,4354,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FR,France,2015,,4237,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FR,France,2020,,4136,,e,estimated,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,HR,Croatia,2005,,4564,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,HR,Croatia,2010,,4414,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,HR,Croatia,2015,,4848,,,,,
