STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indx,Index,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2023,,136.0771131,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2024,,134.4536364,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2016,,100.6811563,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2017,,103.6147396,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2018,,105.0154948,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2019,,107.3067708,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2020,,109.7453906,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2021,,115.7177865,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2022,,136.0706771,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2023,,142.993776,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FR,France,2024,,143.4524359,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2016,,100.4421875,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2017,,106.365625,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2018,,107.8046875,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2019,,108.6757813,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2020,,110.3914063,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2021,,116.9010417,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2022,,141.48125,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2023,,145.875,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DE,Germany,2024,,147.4266026,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2016,,99.2373,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2017,,101.61575,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2018,,101.8206667,,e,estimated,,
